Quadratic DLL - Performance Test
Started : 2026-04-15 23:06:20
Duration: 30 min, sample every 10s
================================================================================

 Elapsed   ProcCPU%   SysCPU%   ProcRAM MB   SysRAM%    Calls/s   AvgLat us   MaxLat us    TotalCalls
     10s       0.0%     34.1%       19.52     43.5%        0.5      100.12      476.30             5
     20s       0.0%     31.8%       19.54     43.5%        0.1  20010621.40  20010621.40             6
     30s       0.0%     32.8%       19.62     43.5%        1.5       51.33      546.30            21
     40s       0.0%     32.3%       19.62     43.5%        0.0        0.00        0.00            21
     50s       0.0%     32.0%       19.66     43.5%        1.6  1251033.76  20016385.80            37
     60s       0.0%     31.6%       19.61     43.3%        0.0        0.00        0.00            37
     70s       0.0%     29.0%       19.64     43.3%        1.6  1250877.26  20013908.70            53
     80s       0.0%     37.1%       19.64     43.2%        0.0        0.00        0.00            53
     90s       0.0%     34.9%       19.69     43.1%        1.6  1251218.94  20019357.20            69
    100s       0.0%     32.1%       19.69     43.1%        0.0        0.00        0.00            69
    110s       0.0%     32.9%       19.74     43.0%        1.6  1251019.94  20016089.90            85
    120s       0.0%     33.2%       19.74     43.0%        0.0        0.00        0.00            85
    130s       0.0%     33.0%       19.78     43.0%        1.6  1251052.83  20016672.60           101
    140s       0.0%     31.3%       19.76     43.0%        0.0        0.00        0.00           101
    150s       0.0%     31.5%       19.80     43.0%        1.6  1251004.81  20015923.10           117
    160s       0.0%     31.4%       19.80     43.0%        0.0        0.00        0.00           117
    170s       0.0%     33.9%       19.84     43.0%        1.6  1251116.48  20017687.60           133
    180s       0.0%     32.3%       19.84     43.0%        0.0        0.00        0.00           133
    190s       0.0%     33.5%       19.89     43.1%        1.6  1251202.24  20018998.90           149
    200s       0.0%     31.9%       19.89     43.0%        0.0        0.00        0.00           149
    210s       0.0%     33.9%       19.94     43.5%        1.6  1251022.41  20016134.20           165
    220s       0.0%     34.0%       19.94     43.5%        0.0        0.00        0.00           165
    230s       0.0%     45.1%       19.99     43.6%        1.6  1251109.49  20017550.90           181
    240s       0.0%     50.9%       19.99     43.2%        0.0        0.00        0.00           181
    250s       0.2%     42.8%       20.04     43.1%        1.6  1250791.26  20012447.00           197
    260s       0.0%     32.9%       20.04     43.1%        0.0        0.00        0.00           197
    270s       0.0%     31.3%       20.07     43.1%        1.6  1251484.69  20023568.90           213
    280s       0.0%     34.2%       20.07     43.2%        0.0        0.00        0.00           213
    290s       0.0%     33.5%       20.12     43.2%        1.6  1250631.23  20009889.30           229
    300s       0.0%     35.0%       20.24     43.1%        0.0        0.00        0.00           229
    310s       0.0%     31.2%       20.33     43.0%        1.6  1250984.30  20015512.80           245
    320s       0.0%     33.1%       20.33     43.8%        0.0        0.00        0.00           245
    330s       0.2%     35.1%       20.38     44.1%        1.6  1251181.13  20018601.40           261
    340s       0.0%     30.7%       20.38     44.1%        0.0        0.00        0.00           261
    350s       0.0%     31.3%       20.41     43.8%        1.6  1251213.83  20019211.50           277
    360s       0.0%     35.2%       20.41     45.1%        0.0        0.00        0.00           277
    370s       0.0%     44.0%       20.45     45.8%        1.6  1250948.37  20015031.50           293
